범죄대분류,범죄중분류,세종,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안
강력범죄,살인기수,2,0,5,0,0,0,0,1,1,4,3,4
강력범죄,살인미수등,3,2,8,2,1,0,1,4,0,2,7,13
강력범죄,강도,2,2,19,0,0,0,0,1,1,5,3,12
강력범죄,강간,26,18,103,28,5,7,13,19,25,12,38,95
강력범죄,유사강간,6,0,13,2,1,9,1,4,1,0,3,12
강력범죄,강제추행,73,34,257,63,5,17,22,51,31,58,86,213
강력범죄,기타강간강제추행등,1,1,4,3,0,0,2,0,0,1,1,3
강력범죄,방화,8,3,22,4,1,7,2,6,2,6,5,8
절도범죄,절도범죄,1110,383,3435,758,75,332,383,409,253,520,1263,3069
폭력범죄,상해,119,112,603,80,17,84,90,81,71,93,175,368
폭력범죄,폭행,400,255,1756,413,22,124,188,388,172,400,593,1329
폭력범죄,체포감금,3,3,15,5,0,1,0,3,3,5,8,21
폭력범죄,협박,86,39,308,93,7,46,30,73,39,80,132,245
폭력범죄,약취유인,2,1,13,1,0,0,1,0,0,0,4,0
폭력범죄,폭력행위등,25,10,118,28,3,14,17,25,26,17,59,86
폭력범죄,공갈,25,6,176,32,4,18,14,15,9,27,20,99
폭력범죄,손괴,250,139,1033,251,23,105,119,188,96,234,311,794
지능범죄,직무유기,26,3,18,4,0,2,5,4,2,1,4,13
지능범죄,직권남용,21,1,12,12,1,2,14,4,0,2,4,17
지능범죄,증수뢰,1,2,1,1,0,0,1,0,0,1,0,4
지능범죄,통화,3,1,4,0,3,1,1,0,0,0,3,2
지능범죄,문서인장,70,20,165,43,4,24,36,26,18,38,65,148
지능범죄,유가증권인지,0,0,0,0,0,0,0,0,0,0,0,0
지능범죄,사기,1528,603,5676,1317,103,553,800,667,444,952,1421,5409
지능범죄,횡령,248,81,703,139,18,78,67,119,79,126,257,789
지능범죄,배임,13,6,38,6,2,11,9,18,8,14,21,49
풍속범죄,성풍속범죄,120,39,329,71,5,32,18,43,26,59,112,347
풍속범죄,도박범죄,13,10,68,19,0,5,19,18,6,10,12,58
특별경제범죄,특별경제범죄,169,67,626,268,8,58,71,116,72,128,280,595
마약범죄,마약범죄,29,19,105,103,1,45,12,30,30,45,33,115
보건범죄,보건범죄,60,42,249,65,3,18,10,20,62,30,66,208
환경범죄,환경범죄,7,0,8,8,1,4,4,2,3,3,4,88
교통범죄,교통범죄,1031,664,4297,1266,85,647,698,1371,742,1045,1841,3888
노동범죄,노동범죄,0,1,2,1,0,2,1,1,3,0,1,2
안보범죄,안보범죄,2,0,0,0,0,1,0,0,1,0,1,1
선거범죄,선거범죄,14,12,26,13,1,4,6,5,2,8,10,39
병역범죄,병역범죄,20,9,41,12,2,4,19,11,4,4,23,34
기타범죄,기타범죄,1009,439,3097,732,57,385,511,1089,1066,656,1327,2681
