"행정구역(동읍면)별","항목","5세별",2015,2016,2017,2018,2019,2020,2021,2022
"군위군","총인구수 (명)","15 - 19세",897,823,751,648,583,502,468,451
"군위군","총인구수 (명)","20 - 24세",1042,1017,997,983,907,794,679,630
"군위군","총인구수 (명)","25 - 29세",862,834,808,805,805,728,700,718
"군위군","총인구수 (명)","30 - 34세",832,811,799,717,728,630,562,586
"군위군","총인구수 (명)","35 - 39세",914,916,920,873,789,679,644,675
"군위군","총인구수 (명)","40 - 44세",1156,1093,1023,980,964,900,850,857
"군위군","총인구수 (명)","45 - 49세",1546,1513,1476,1408,1320,1259,1156,1065
"군위군","총인구수 (명)","65 - 69세",2094,2204,2263,2265,2317,2485,2650,2794
"군위군","총인구수 (명)","70 - 74세",2115,1976,1909,1904,1958,2064,2192,2283
"군위군","총인구수 (명)","75 - 79세",2094,2114,2206,2179,2075,1954,1801,1749
"군위군","총인구수 (명)","80 - 84세",1413,1548,1596,1646,1696,1680,1692,1786
"군위군","총인구수 (명)","85 - 89세",575,603,674,718,833,932,1018,1066
"군위군","총인구수 (명)","90 - 94세",173,175,195,218,247,286,302,323
"군위군","총인구수 (명)","95 - 99세",35,38,44,43,36,45,49,53
"군위군","총인구수 (명)","100+",12,12,11,10,14,15,15,11
"군위군","남자인구수 (명)","15 - 19세",486,442,412,361,316,267,250,240
"군위군","남자인구수 (명)","20 - 24세",598,561,546,547,520,463,401,365
"군위군","남자인구수 (명)","25 - 29세",502,496,483,505,487,464,426,424
"군위군","남자인구수 (명)","30 - 34세",442,432,444,414,432,385,357,349
"군위군","남자인구수 (명)","35 - 39세",524,523,517,481,425,364,352,389
"군위군","남자인구수 (명)","40 - 44세",694,654,624,588,568,533,491,490
"군위군","남자인구수 (명)","45 - 49세",909,894,850,831,789,740,677,633
"군위군","남자인구수 (명)","65 - 69세",1047,1102,1134,1146,1162,1268,1395,1512
"군위군","남자인구수 (명)","70 - 74세",910,881,875,895,976,1032,1091,1141
"군위군","남자인구수 (명)","75 - 79세",838,844,893,885,859,822,774,776
"군위군","남자인구수 (명)","80 - 84세",502,562,569,591,606,600,609,658
"군위군","남자인구수 (명)","85 - 89세",163,165,201,226,270,286,321,332
"군위군","남자인구수 (명)","90 - 94세",43,41,45,43,51,58,67,73
"군위군","남자인구수 (명)","95 - 99세",8,10,6,5,3,8,6,7
"군위군","남자인구수 (명)","100+",1,1,0,0,1,1,1,0
"군위군","여자인구수 (명)","15 - 19세",411,381,339,287,267,235,218,211
"군위군","여자인구수 (명)","20 - 24세",444,456,451,436,387,331,278,265
"군위군","여자인구수 (명)","25 - 29세",360,338,325,300,318,264,274,294
"군위군","여자인구수 (명)","30 - 34세",390,379,355,303,296,245,205,237
"군위군","여자인구수 (명)","35 - 39세",390,393,403,392,364,315,292,286
"군위군","여자인구수 (명)","40 - 44세",462,439,399,392,396,367,359,367
"군위군","여자인구수 (명)","45 - 49세",637,619,626,577,531,519,479,432
"군위군","여자인구수 (명)","65 - 69세",1047,1102,1129,1119,1155,1217,1255,1282
"군위군","여자인구수 (명)","70 - 74세",1205,1095,1034,1009,982,1032,1101,1142
"군위군","여자인구수 (명)","75 - 79세",1256,1270,1313,1294,1216,1132,1027,973
"군위군","여자인구수 (명)","80 - 84세",911,986,1027,1055,1090,1080,1083,1128
"군위군","여자인구수 (명)","85 - 89세",412,438,473,492,563,646,697,734
"군위군","여자인구수 (명)","90 - 94세",130,134,150,175,196,228,235,250
"군위군","여자인구수 (명)","95 - 99세",27,28,38,38,33,37,43,46
"군위군","여자인구수 (명)","100+",11,11,11,10,13,14,14,11
